uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation_date,end_portability_date,current_package,clients_duration,main_line
00AJmuB7JTe5qJJuG99sLHthmVX2,masculino,paused,2021-02-14,paymentFailedSubscription,27,17.0,SP,monthly,2020-12-12,2020-12-16,customPackage,2.0,Yes
01zSzL2oaLYLVlsHeHFyiVyyvf82,masculino,canceled,2021-02-21,cancelRequested,54,11.0,SP,weekly,2020-10-23,,customPackage,4.0,No
02N1mXy2jWVv29wMwo3j3D9NRTM2,masculino,paused,2021-02-01,paymentFailedSubscription,35,19.0,SP,monthly,2020-12-29,2021-01-05,customPackage,2.0,Yes
03bpVdZNj2fNooC4QW2pZ5KgHyx1,masculino,paused,2021-02-03,paused,25,18.0,SP,weekly,2020-09-25,2020-10-01,customPackage,5.0,Yes
05Vyqxi1cgYtIbJL85B6iinxhn22,masculino,paused,2021-02-15,paymentFailedSubscription,26,31.0,MG,weekly,2021-01-29,,customPackage,1.0,No
08Lb9FC9cEg6jPC10Vj4aL989Cw2,masculino,paused,2021-01-09,canceled,23,61.0,DF,monthly,2020-12-09,,customPackage,1.0,No
09NhDHRhCYZOKcOY2rqZtp0GYww2,masculino,canceled,2020-12-18,cancelRequested,20,11.0,SP,weekly,2020-11-19,2020-11-24,customPackage,1.0,Yes
0EguolwQL8SI4e8j3E8VxzXmR6M2,feminino,paused,2021-02-09,paymentFailedSubscription,39,12.0,SP,monthly,2020-11-06,,customPackage,3.0,No
0EybKqYI8kXmZjOuDc93W4n9Hx22,feminino,paused,2020-12-26,paymentFailedSubscription,22,11.0,SP,weekly,2020-07-23,2020-08-10,customPackage,5.0,Yes
0F0CqI3km0NnapAPDYvpwGDZkZ33,masculino,canceled,2020-12-19,cancelRequested,22,18.0,SP,weekly,2020-08-26,,customPackage,4.0,No
0HEc6CN32jMzffu1PLXJgZzCJNl1,masculino,paused,2021-03-03,paymentFailedSubscription,25,11.0,SP,monthly,2020-10-09,,customPackage,5.0,No
0J7JKPqUjaYvpnHSJPN0AzPy5px1,masculino,canceled,2020-12-31,cancelRequested,18,11.0,SP,weekly,2020-08-26,,customPackage,4.0,No
0No2QUB3abepgreTj0gqggAplFx1,masculino,canceled,2021-01-15,cancelRequested,33,11.0,SP,weekly,2020-07-31,,customPackage,6.0,No
0Sgz7WEGwdS7nJ6xsJ0dwK4NEep1,masculino,canceled,2020-12-24,cancelRequested,24,11.0,SP,weekly,2020-09-17,,customPackage,3.0,No
0TxOGLWQbcXAX36p1bLBQN38D303,masculino,paused,2021-01-04,canceled,33,62.0,GO,monthly,2020-12-05,,customPackage,1.0,No
0XbfHmCIgTOiY2bv9X4BVaTGTmu1,masculino,active,2021-03-03,paused,23,11.0,SP,monthly,2020-11-20,,customPackage,4.0,No
